chunk_id,document_id,doc_type,procedure_code,section,chunk_title,char_count
C00086,DOC-SPO-5,spo,SPO-5,8. Powiązania,SPO-5 - powiązania z innymi procedurami,309
C00087,DOC-SPO-6,spo,SPO-6,1. Cel procedury,SPO-6 - cel procedury,501
C00088,DOC-SPO-6,spo,SPO-6,2. Podstawa prawna,SPO-6 - podstawa prawna,323
C00089,DOC-SPO-6,spo,SPO-6,3. Przesłanki uruchomienia,SPO-6 - kiedy uruchomić,456
C00090,DOC-SPO-6,spo,SPO-6,4. Uczestnicy i odpowiedzialności,SPO-6 - kto odpowiada,493
C00091,DOC-SPO-6,spo,SPO-6,5. Przebieg - kroki,SPO-6 krok 1: Analiza zagrożenia i przesłanek konstytucyjnych,412
C00092,DOC-SPO-6,spo,SPO-6,5. Przebieg - kroki,SPO-6 krok 2: Przygotowanie wniosku Rady Ministrów do Prezydenta RP,441
C00093,DOC-SPO-6,spo,SPO-6,5. Przebieg - kroki,"SPO-6 krok 3: Określenie obszaru, czasu i zakresu ograniczeń",444
C00094,DOC-SPO-6,spo,SPO-6,5. Przebieg - kroki,SPO-6 krok 4: Opinia RCL i uzgodnienia międzyresortowe,392
C00095,DOC-SPO-6,spo,SPO-6,5. Przebieg - kroki,SPO-6 krok 5: Rozpatrzenie wniosku przez Rade Ministrów,399
C00096,DOC-SPO-6,spo,SPO-6,5. Przebieg - kroki,SPO-6 krok 6: Wydanie rozporządzenia przez Prezydenta RP,419
C00097,DOC-SPO-6,spo,SPO-6,5. Przebieg - kroki,SPO-6 krok 7: Przedstawienie rozporządzenia Sejmowi RP,402
C00098,DOC-SPO-6,spo,SPO-6,5. Przebieg - kroki,SPO-6 krok 8: Komunikacja społeczna i informowanie ludności w trybie SPO-3,426
C00099,DOC-SPO-6,spo,SPO-6,5. Przebieg - kroki,SPO-6 krok 9: Monitoring stosowania ograniczeń i raportowanie,439
C00100,DOC-SPO-6,spo,SPO-6,6. Dokumenty wytwarzane,SPO-6 - dokumenty,388
C00101,DOC-SPO-6,spo,SPO-6,7. Wskaźniki i czasy normatywne,SPO-6 - SLA i wskaźniki,278
C00102,DOC-SPO-6,spo,SPO-6,8. Powiązania,SPO-6 - powiązania z innymi procedurami,319
C00103,DOC-SPO-7,spo,SPO-7,1. Cel procedury,SPO-7 - cel procedury,452
C00104,DOC-SPO-7,spo,SPO-7,2. Podstawa prawna,SPO-7 - podstawa prawna,322
C00105,DOC-SPO-7,spo,SPO-7,3. Przesłanki uruchomienia,SPO-7 - kiedy uruchomić,414
C00106,DOC-SPO-7,spo,SPO-7,4. Uczestnicy i odpowiedzialności,SPO-7 - kto odpowiada,467
C00107,DOC-SPO-7,spo,SPO-7,5. Przebieg - kroki,SPO-7 krok 1: Ocena zagrożenia zewnętrznego i rekomendacja MON,439
C00108,DOC-SPO-7,spo,SPO-7,5. Przebieg - kroki,SPO-7 krok 2: Przygotowanie wniosku Rady Ministrów do Prezydenta RP,438
C00109,DOC-SPO-7,spo,SPO-7,5. Przebieg - kroki,SPO-7 krok 3: Określenie obszaru objętego stanem wojennym,440
C00110,DOC-SPO-7,spo,SPO-7,5. Przebieg - kroki,"SPO-7 krok 4: Uzgodnienia z MSWiA, MSZ i BBN",412
C00111,DOC-SPO-7,spo,SPO-7,5. Przebieg - kroki,SPO-7 krok 5: Rozpatrzenie wniosku przez Rade Ministrów,399
C00112,DOC-SPO-7,spo,SPO-7,5. Przebieg - kroki,SPO-7 krok 6: Wydanie rozporządzenia przez Prezydenta RP,418
C00113,DOC-SPO-7,spo,SPO-7,5. Przebieg - kroki,SPO-7 krok 7: Przedstawienie rozporządzenia Sejmowi RP,402
C00114,DOC-SPO-7,spo,SPO-7,5. Przebieg - kroki,SPO-7 krok 8: Uruchomienie systemu kierowania obrona państwa,445
C00115,DOC-SPO-7,spo,SPO-7,5. Przebieg - kroki,SPO-7 krok 9: Informowanie ludności i sojuszników,401
C00116,DOC-SPO-7,spo,SPO-7,6. Dokumenty wytwarzane,SPO-7 - dokumenty,406
C00117,DOC-SPO-7,spo,SPO-7,7. Wskaźniki i czasy normatywne,SPO-7 - SLA i wskaźniki,278
C00118,DOC-SPO-7,spo,SPO-7,8. Powiązania,SPO-7 - powiązania z innymi procedurami,310
C00119,DOC-SPO-8,spo,SPO-8,1. Cel procedury,SPO-8 - cel procedury,474
C00120,DOC-SPO-8,spo,SPO-8,2. Podstawa prawna,SPO-8 - podstawa prawna,310
C00121,DOC-SPO-8,spo,SPO-8,3. Przesłanki uruchomienia,SPO-8 - kiedy uruchomić,431
C00122,DOC-SPO-8,spo,SPO-8,4. Uczestnicy i odpowiedzialności,SPO-8 - kto odpowiada,452
C00123,DOC-SPO-8,spo,SPO-8,5. Przebieg - kroki,SPO-8 krok 1: Weryfikacja informacji o uprowadzeniu i ustalenie tożsamości,443
C00124,DOC-SPO-8,spo,SPO-8,5. Przebieg - kroki,SPO-8 krok 2: Powiadomienie Zespołu do spraw Incydentów Krytycznych,432
C00125,DOC-SPO-8,spo,SPO-8,5. Przebieg - kroki,SPO-8 krok 3: Powołanie sztabu kryzysowego MSZ i wyznaczenie koordynatora,447
C00126,DOC-SPO-8,spo,SPO-8,5. Przebieg - kroki,SPO-8 krok 4: Nawiązanie współpracy z placówka dyplomatyczna i służbami państwa pobytu,453
C00127,DOC-SPO-8,spo,SPO-8,5. Przebieg - kroki,SPO-8 krok 5: Ocena wiarygodności zadań i analiza zagrożenia,413
C00128,DOC-SPO-8,spo,SPO-8,5. Przebieg - kroki,SPO-8 krok 6: Ustalenie strategii postępowania i zasad kontaktu,433
C00129,DOC-SPO-8,spo,SPO-8,5. Przebieg - kroki,SPO-8 krok 7: Opieka nad rodzina i zapewnienie wsparcia psychologicznego,443
C00130,DOC-SPO-8,spo,SPO-8,5. Przebieg - kroki,SPO-8 krok 8: Zarządzanie informacja publiczna i ochrona danych osoby uprowadzonej,443
C00131,DOC-SPO-8,spo,SPO-8,5. Przebieg - kroki,SPO-8 krok 9: Przygotowanie i realizacja operacji uwolnienia lub przekazania,450
C00132,DOC-SPO-8,spo,SPO-8,5. Przebieg - kroki,"SPO-8 krok 10: Powrót, pomoc medyczna i psychologiczna oraz raport końcowy",435
C00133,DOC-SPO-8,spo,SPO-8,6. Dokumenty wytwarzane,SPO-8 - dokumenty,447
C00134,DOC-SPO-8,spo,SPO-8,7. Wskaźniki i czasy normatywne,SPO-8 - SLA i wskaźniki,281
C00135,DOC-SPO-8,spo,SPO-8,8. Powiązania,SPO-8 - powiązania z innymi procedurami,281
C00136,DOC-SPO-9,spo,SPO-9,1. Cel procedury,SPO-9 - cel procedury,526
C00137,DOC-SPO-9,spo,SPO-9,2. Podstawa prawna,SPO-9 - podstawa prawna,324
C00138,DOC-SPO-9,spo,SPO-9,3. Przesłanki uruchomienia,SPO-9 - kiedy uruchomić,453
C00139,DOC-SPO-9,spo,SPO-9,4. Uczestnicy i odpowiedzialności,SPO-9 - kto odpowiada,573
C00140,DOC-SPO-9,spo,SPO-9,5. Przebieg - kroki,SPO-9 krok 1: Monitoring i prognoza liczby osób przekraczających granicę,432
C00141,DOC-SPO-9,spo,SPO-9,5. Przebieg - kroki,SPO-9 krok 2: Uruchomienie punktów recepcyjnych i rejestracji,418
C00142,DOC-SPO-9,spo,SPO-9,5. Przebieg - kroki,"SPO-9 krok 3: Zapewnienie zakwaterowania, wyżywienia i opieki medycznej",432
C00143,DOC-SPO-9,spo,SPO-9,5. Przebieg - kroki,SPO-9 krok 4: Wsparcie tłumaczy i informacji w językach obcych,452
C00144,DOC-SPO-9,spo,SPO-9,5. Przebieg - kroki,SPO-9 krok 5: Weryfikacja tożsamości i kontrola bezpieczeństwa,417
C00145,DOC-SPO-9,spo,SPO-9,5. Przebieg - kroki,SPO-9 krok 6: Koordynacja z organizacjami pozarządowymi i samorządami,427
C00146,DOC-SPO-9,spo,SPO-9,5. Przebieg - kroki,SPO-9 krok 7: Uruchomienie środków finansowych w trybie SPO-2,420
C00147,DOC-SPO-9,spo,SPO-9,5. Przebieg - kroki,SPO-9 krok 8: Ochrona osób małoletnich bez opieki i osób wrażliwych,454
C00148,DOC-SPO-9,spo,SPO-9,5. Przebieg - kroki,SPO-9 krok 9: Komunikacja społeczna i przeciwdziałanie dezinformacji,422
C00149,DOC-SPO-9,spo,SPO-9,5. Przebieg - kroki,SPO-9 krok 10: Raportowanie dobowe i ocena wydolności systemu,438
C00150,DOC-SPO-9,spo,SPO-9,6. Dokumenty wytwarzane,SPO-9 - dokumenty,460
C00151,DOC-SPO-9,spo,SPO-9,7. Wskaźniki i czasy normatywne,SPO-9 - SLA i wskaźniki,278
C00152,DOC-SPO-9,spo,SPO-9,8. Powiązania,SPO-9 - powiązania z innymi procedurami,315
C00153,DOC-SPO-10,spo,SPO-10,1. Cel procedury,SPO-10 - cel procedury,784
C00154,DOC-SPO-10,spo,SPO-10,2. Podstawa prawna,SPO-10 - podstawa prawna,343
C00155,DOC-SPO-10,spo,SPO-10,3. Przesłanki uruchomienia,SPO-10 - kiedy uruchomić,485
C00156,DOC-SPO-10,spo,SPO-10,4. Uczestnicy i odpowiedzialności,SPO-10 - kto odpowiada,614
C00157,DOC-SPO-10,spo,SPO-10,5. Przebieg - kroki,SPO-10 krok 1: Przyjęcie zgłoszenia o zagrożeniu obiektu IK i jego rejestracja,443
C00158,DOC-SPO-10,spo,SPO-10,5. Przebieg - kroki,SPO-10 krok 2: Identyfikacja systemu IK i właściwego ministra odpowiedzialnego,442
C00159,DOC-SPO-10,spo,SPO-10,5. Przebieg - kroki,SPO-10 krok 3: Nawiązanie kontaktu z operatorem i wyznaczenie punktu styku,446
C00160,DOC-SPO-10,spo,SPO-10,5. Przebieg - kroki,SPO-10 krok 4: Ocena skutków wtórnych i zależności międzysystemowych,436
C00161,DOC-SPO-10,spo,SPO-10,5. Przebieg - kroki,SPO-10 krok 5: Ustalenie priorytetów zasilania i przywracania funkcji,420
C00162,DOC-SPO-10,spo,SPO-10,5. Przebieg - kroki,SPO-10 krok 6: Uzgodnienie wsparcia sił i środków administracji dla operatora,429
C00163,DOC-SPO-10,spo,SPO-10,5. Przebieg - kroki,"SPO-10 krok 7: Wprowadzenie ograniczeń lub reglamentacji, jeśli konieczne",433
C00164,DOC-SPO-10,spo,SPO-10,5. Przebieg - kroki,SPO-10 krok 8: Monitorowanie odtwarzania funkcji i raportowanie postępu,436
C00165,DOC-SPO-10,spo,SPO-10,5. Przebieg - kroki,SPO-10 krok 9: Informowanie odbiorców usług o przewidywanym czasie przywrócenia,448
C00166,DOC-SPO-10,spo,SPO-10,5. Przebieg - kroki,SPO-10 krok 10: Wnioski i aktualizacja planu ochrony IK po zdarzeniu,426
C00167,DOC-SPO-10,spo,SPO-10,6. Dokumenty wytwarzane,SPO-10 - dokumenty,465
C00168,DOC-SPO-10,spo,SPO-10,7. Wskaźniki i czasy normatywne,SPO-10 - SLA i wskaźniki,285
C00169,DOC-SPO-10,spo,SPO-10,8. Powiązania,SPO-10 - powiązania z innymi procedurami,370
C00170,DOC-SPO-11,spo,SPO-11,1. Cel procedury,SPO-11 - cel procedury,509
C00171,DOC-SPO-11,spo,SPO-11,2. Podstawa prawna,SPO-11 - podstawa prawna,301
C00172,DOC-SPO-11,spo,SPO-11,3. Przesłanki uruchomienia,SPO-11 - kiedy uruchomić,444
C00173,DOC-SPO-11,spo,SPO-11,4. Uczestnicy i odpowiedzialności,SPO-11 - kto odpowiada,401
C00174,DOC-SPO-11,spo,SPO-11,5. Przebieg - kroki,SPO-11 krok 1: Ocena zagrożenia w państwie pobytu i decyzja o ewakuacji,436
C00175,DOC-SPO-11,spo,SPO-11,5. Przebieg - kroki,SPO-11 krok 2: Ustalenie liczby i lokalizacji obywateli RP,430
C00176,DOC-SPO-11,spo,SPO-11,5. Przebieg - kroki,SPO-11 krok 3: Uruchomienie infolinii i kanałów zgłoszeniowych,430
C00177,DOC-SPO-11,spo,SPO-11,5. Przebieg - kroki,SPO-11 krok 4: Wybór wariantu transportu i tras ewakuacji,434
C00178,DOC-SPO-11,spo,SPO-11,5. Przebieg - kroki,SPO-11 krok 5: Uzgodnienia z państwem pobytu i państwami tranzytu,433
C00179,DOC-SPO-11,spo,SPO-11,5. Przebieg - kroki,SPO-11 krok 6: Koordynacja z mechanizmem ochrony ludności UE i sojusznikami,441
C00180,DOC-SPO-11,spo,SPO-11,5. Przebieg - kroki,SPO-11 krok 7: Organizacja punktów zbornych i eskorty,436
C00181,DOC-SPO-11,spo,SPO-11,5. Przebieg - kroki,SPO-11 krok 8: Realizacja przerzutu i odprawa po przylocie,439
C00182,DOC-SPO-11,spo,SPO-11,5. Przebieg - kroki,"SPO-11 krok 9: Pomoc medyczna, socjalna i psychologiczna po powrocie",434
C00183,DOC-SPO-11,spo,SPO-11,5. Przebieg - kroki,SPO-11 krok 10: Rozliczenie kosztów i raport końcowy,414
C00184,DOC-SPO-11,spo,SPO-11,6. Dokumenty wytwarzane,SPO-11 - dokumenty,433
C00185,DOC-SPO-11,spo,SPO-11,7. Wskaźniki i czasy normatywne,SPO-11 - SLA i wskaźniki,278
C00186,DOC-SPO-11,spo,SPO-11,8. Powiązania,SPO-11 - powiązania z innymi procedurami,336
C00187,DOC-SPO-12,spo,SPO-12,1. Cel procedury,SPO-12 - cel procedury,648
C00188,DOC-SPO-12,spo,SPO-12,2. Podstawa prawna,SPO-12 - podstawa prawna,306
C00189,DOC-SPO-12,spo,SPO-12,3. Przesłanki uruchomienia,SPO-12 - kiedy uruchomić,427
C00190,DOC-SPO-12,spo,SPO-12,4. Uczestnicy i odpowiedzialności,SPO-12 - kto odpowiada,304
C00191,DOC-SPO-12,spo,SPO-12,5. Przebieg - kroki,SPO-12 krok 1: Przyjęcie meldunku z CZK i nadanie numeru ewidencyjnego,434
C00192,DOC-SPO-12,spo,SPO-12,5. Przebieg - kroki,SPO-12 krok 2: Weryfikacja i uzupełnienie danych u źródła,459
C00193,DOC-SPO-12,spo,SPO-12,5. Przebieg - kroki,SPO-12 krok 3: Klasyfikacja zdarzenia wg katalogu zagrożeń Z01-Z20,429
C00194,DOC-SPO-12,spo,SPO-12,5. Przebieg - kroki,SPO-12 krok 4: Sporządzenie raportu sytuacyjnego dla kierownictwa,427
C00195,DOC-SPO-12,spo,SPO-12,5. Przebieg - kroki,SPO-12 krok 5: Dystrybucja raportu do adresatów zgodnie z lista rozdzielnika,433
C00196,DOC-SPO-12,spo,SPO-12,5. Przebieg - kroki,SPO-12 krok 6: Aktualizacja obrazu sytuacji i zasilenie COP,422
C00197,DOC-SPO-12,spo,SPO-12,5. Przebieg - kroki,SPO-12 krok 7: Sporządzenie raportu dobowego,402
C00198,DOC-SPO-12,spo,SPO-12,5. Przebieg - kroki,SPO-12 krok 8: Archiwizacja i zapewnienie śladu audytowego,460
C00199,DOC-SPO-12,spo,SPO-12,6. Dokumenty wytwarzane,SPO-12 - dokumenty,344
C00200,DOC-SPO-12,spo,SPO-12,7. Wskaźniki i czasy normatywne,SPO-12 - SLA i wskaźniki,284
C00201,DOC-SPO-12,spo,SPO-12,8. Powiązania,SPO-12 - powiązania z innymi procedurami,337
C00202,DOC-SPO-13,spo,SPO-13,1. Cel procedury,SPO-13 - cel procedury,509
C00203,DOC-SPO-13,spo,SPO-13,2. Podstawa prawna,SPO-13 - podstawa prawna,323
C00204,DOC-SPO-13,spo,SPO-13,3. Przesłanki uruchomienia,SPO-13 - kiedy uruchomić,475
C00205,DOC-SPO-13,spo,SPO-13,4. Uczestnicy i odpowiedzialności,SPO-13 - kto odpowiada,392
C00206,DOC-SPO-13,spo,SPO-13,5. Przebieg - kroki,SPO-13 krok 1: Przyjęcie informacji o zagrożeniu z systemu obrony powietrznej,459
C00207,DOC-SPO-13,spo,SPO-13,5. Przebieg - kroki,SPO-13 krok 2: Weryfikacja i ocena wiarygodności sygnału,474
C00208,DOC-SPO-13,spo,SPO-13,5. Przebieg - kroki,SPO-13 krok 3: Określenie obszaru zagrożonego i sposobu alarmowania,453
C00209,DOC-SPO-13,spo,SPO-13,5. Przebieg - kroki,SPO-13 krok 4: Przekazanie sygnału do wojewódzkich centrów zarządzania kryzysowego,458
